model,method,label,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
PL,gap_5,gap <= 5,2,158489319.24611133,251188643.15095794,198294771.73188734,196506965.8591663,77426,75082,0.9697259318575155,2.5756998810098537,2.328644264968673,1.2702306375310028,3.838022001034709,2.6682095870748133,2.8405741014741808,-0.09250970606495956,-0.26487422046432707
PL,gap_5,gap <= 5,3,251188643.15095794,398107170.5534973,315155047.84180754,312415111.78836626,51822,50399,0.9725406198139787,2.505806219292575,2.2783728276838238,1.2730173637613118,3.697807265911273,2.5737638335600934,2.7068358465568214,-0.06795761426751845,-0.20102962726424645
PL,gap_5,gap <= 5,4,398107170.5534973,630957344.4801933,498920317.7741803,494471300.98412424,35056,34069,0.9718450479233227,2.4377664321581136,2.226380208737937,1.2526702473757436,3.5555234639670115,2.4825199236322044,2.5788300442336562,-0.0447534914740908,-0.14106361207554263
PL,gap_5,gap <= 5,5,630957344.4801933,999999999.9999999,790702606.2642671,783745275.2119464,23258,22614,0.9723106028033365,2.359735796361614,2.1722931251877267,1.2410955874774914,3.4382312837815037,2.393396630302926,2.4549554610271187,-0.03366083394131181,-0.09521966466550458
PL,gap_5,gap <= 5,6,999999999.9999999,1584893192.461114,1251529735.3692577,1240575012.555985,15701,15280,0.9731864212470543,2.253356440888293,2.1137422676210353,1.2018077156590325,3.2253392097861324,2.306791614966728,2.3356940550298257,-0.05343517407843468,-0.08233761414153262
PL,gap_5,gap <= 5,7,1584893192.461114,2511886431.5095806,1980392348.1677978,1963390069.1820774,9949,9728,0.9777867122323851,2.180165160139504,2.042410426763426,1.1773192125746528,3.108353323970167,2.222446167133276,2.220616331004373,-0.0422810069937718,-0.040451170864868935
PL,gap_5,gap <= 5,8,2511886431.5095806,3981071705.534973,3143947706.9547725,3116539822.2254853,6848,6682,0.9757593457943925,2.106334655084761,1.9783183929667338,1.1303132824094744,3.0064379658278138,2.139676523067717,2.108734258192959,-0.0333418679829558,-0.0023996031081980895
PL,gap_5,gap <= 5,9,3981071705.534973,6309573444.801932,4966346621.624108,4923403047.360483,4496,4407,0.9802046263345195,2.0359008228887236,1.921797356854491,1.1055472399580268,2.8892106236301967,2.0598904704933756,2.001882078358693,-0.023989647604651942,0.03401874453003062
PL,gap_5,gap <= 5,10,6309573444.801932,10000000000.0,7887233406.894401,7818886293.537077,3000,2938,0.9793333333333333,1.9340374614038298,1.824916468630085,1.0301889067426504,2.7858406766826245,1.981232901243875,1.8975151914781518,-0.04719543984004515,0.036522269925677975
PL,gap_5,gap <= 5,11,10000000000.0,15848931924.611141,12522250550.631666,12412500042.72662,1937,1885,0.9731543624161074,1.8373673132416253,1.7453569804094093,0.9910302101929561,2.628283029644108,1.9046462431609892,1.7968408736413588,-0.0672789299193639,0.04052643960026647
