model,model_label,snap_current,snap_next,z_current,z_next,z_mid,dt_yr,mass_bin_left_msun,mass_bin_right_msun,mass_bin_center_msun,n_halos,mean_mass_current_msun,median_mass_current_msun,mean_dM200c_dt_msun_yr,median_dM200c_dt_msun_yr,std_dM200c_dt_msun_yr,sem_dM200c_dt_msun_yr,p16_dM200c_dt_msun_yr,p84_dM200c_dt_msun_yr,negative_fraction,correa2015_mean_dMdt_msun_yr,mean_over_correa
BT_soft,BT kp=1,47,48,1.2789765460708074,1.0717968600643704,1.1753867030675889,699053818.7873163,31600000000.0,100000000000.0,56213877290.22079,2185,53173556079.03522,48191094398.498535,6.36922585932013,3.2924196390503657,15.951415586370965,0.34125066731755516,-0.5911886264323355,11.049147378713577,0.1977116704805492,10.107346844510538,0.6301580382372411
BT_soft,BT kp=1,47,48,1.2789765460708074,1.0717968600643704,1.1753867030675889,699053818.7873163,100000000000.0,316000000000.0,177763888346.31177,727,167394061068.8851,151410903930.66406,24.699922947812563,11.176830036560132,57.06689477098489,2.116493973150066,-3.679550497794902,41.5932192361315,0.2324621733149931,31.818632412314265,0.7762722994421766
BT_soft,BT kp=1,47,48,1.2789765460708074,1.0717968600643704,1.1753867030675889,699053818.7873163,316000000000.0,1000000000000.0,562138772902.2078,224,528147956047.73926,468430614471.43555,70.41171801982149,43.62932822189177,146.97171438699334,9.819960728266492,-17.430423015369897,134.05693331595305,0.20982142857142858,100.39152862109394,0.701371111556387
BT_soft,BT kp=1,48,49,1.0717968600643704,0.8834516909676096,0.97762427551599,784054791.209321,100000000.0,316000000.0,177763888.34631178,122788,242336698.6802603,237347139.04559612,0.006221375786346235,0.004654173125683565,0.0359555711228589,0.0001026096553223394,-0.01226342202779662,0.022661212209664834,0.37987425481317394,0.0366856501679136,0.16958608496429597
BT_soft,BT kp=1,48,49,1.0717968600643704,0.8834516909676096,0.97762427551599,784054791.209321,316000000.0,1000000000.0,562138772.9022079,137440,538951302.8622957,488670896.7387676,0.01762383519947735,0.012114495899824176,0.08437500485561934,0.00022759212855863966,-0.018533010464708025,0.04769644683490259,0.32514551804423747,0.08158805109594389,0.21601000345936086
BT_soft,BT kp=1,48,49,1.0717968600643704,0.8834516909676096,0.97762427551599,784054791.209321,1000000000.0,3160000000.0,1777638883.4631178,49758,1700802797.9479163,1542240083.2176208,0.07506663502816371,0.048539943761225376,0.2801817697420678,0.0012560543047222812,-0.038855631755584534,0.15873042205304982,0.2591342095743398,0.2574725858275808,0.2915519521695132
BT_soft,BT kp=1,48,49,1.0717968600643704,0.8834516909676096,0.97762427551599,784054791.209321,3160000000.0,10000000000.0,5621387729.0220785,17593,5383681361.531477,4891006350.517273,0.30631037052661875,0.18516021667317173,0.9771250113423933,0.0073668220384750975,-0.09984065547289926,0.5803997777412735,0.22821576763485477,0.8149976958514553,0.3758420080029871
BT_soft,BT kp=1,48,49,1.0717968600643704,0.8834516909676096,0.97762427551599,784054791.209321,10000000000.0,31600000000.0,17776388834.631176,6077,16977230017.369997,15321893692.016602,1.2631312266293007,0.6587662284112437,3.612253885071025,0.04633761199116463,-0.3356989709356846,2.2133066209657346,0.22725028797103833,2.5700635711770126,0.49147859251233394
BT_soft,BT kp=1,48,49,1.0717968600643704,0.8834516909676096,0.97762427551599,784054791.209321,31600000000.0,100000000000.0,56213877290.22079,2146,53793626822.607605,48950800895.69092,5.104395545546437,2.5209254341570224,13.00440430090011,0.2807214537328175,-1.0869996266527404,9.82197170445334,0.22087604846225536,8.143439213394819,0.6268107874066794
BT_soft,BT kp=1,48,49,1.0717968600643704,0.8834516909676096,0.97762427551599,784054791.209321,100000000000.0,316000000000.0,177763888346.31177,709,168289586068.54483,152855281829.83398,20.73387346080448,9.428187687442176,47.14096864590661,1.7704162391673335,-2.3392015652316505,34.877206122020006,0.2016925246826516,25.476178040864404,0.8138533742206876
