model,snapshot,redshift,reference_model,log10_M_FOF_Msun,dn_dlog10M,poisson_err,reed07_dndlog10M_interp,sim_over_reed07,sim_over_reed07_minus_1,ratio_err,residual_err,source_file
PL,0040,3.4410805658e+00,Reed07_FOF,1.2231904432e+01,1.0562822179e-03,3.5209407262e-04,4.7899483888e-04,2.2052058438e+00,1.2052058438e+00,7.3506861460e-01,7.3506861460e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,8.0781061002e+00,9.6223789105e+00,3.3605468696e-02,8.9572811897e+00,1.0742521873e+00,7.4252187328e-02,3.7517487711e-03,3.7517487711e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,8.2463650613e+00,6.2296004268e+00,2.7039510505e-02,5.7438110278e+00,1.0845761458e+00,8.4576145817e-02,4.7075905482e-03,4.7075905482e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,8.4129238246e+00,4.1525974924e+00,2.2076420023e-02,3.6691491952e+00,1.1317603268e+00,1.3176032685e-01,6.0167681520e-03,6.0167681520e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,8.5798999995e+00,2.6333115691e+00,1.7580039769e-02,2.3206176014e+00,1.1347460123e+00,1.3474601225e-01,7.5755866709e-03,7.5755866709e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,8.7465562138e+00,1.6873521607e+00,1.4072510960e-02,1.4533904494e+00,1.1609765025e+00,1.6097650248e-01,9.6825398614e-03,9.6825398614e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,8.9130673520e+00,1.0661408519e+00,1.1186031088e-02,9.0039553527e-01,1.1840805625e+00,1.8408056251e-01,1.2423463522e-02,1.2423463522e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,9.0805008109e+00,6.5571652790e-01,8.7725690420e-03,5.4947240704e-01,1.1933566081e+00,1.9335660809e-01,1.5965440538e-02,1.5965440538e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,9.2446937160e+00,4.0619919511e-01,6.9045957859e-03,3.3344770473e-01,1.2181796106e+00,2.1817961061e-01,2.0706682601e-02,2.0706682601e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,9.4112289787e+00,2.3942396938e-01,5.3009357809e-03,1.9754757697e-01,1.2119813012e+00,2.1198130117e-01,2.6833717033e-02,2.6833717033e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
PL,0032,8.5198506052e+00,Reed07_FOF,9.5778123208e+00,1.4248073472e-01,4.0892795680e-03,1.1478020605e-01,1.2413354151e+00,2.4133541507e-01,3.5627045017e-02,3.5627045017e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0032_fof_reed07_input.npz
