dataset,model,z,snap,box,x,y
power,PL,19.40664523021168,24,25,28.90403695146484,7.293157226783454e-05
power,PL,19.40664523021168,24,25,29.154865892880995,7.095220298826162e-05
power,PL,19.40664523021168,24,25,29.40751703157385,6.918590751854593e-05
power,PL,19.40664523021168,24,25,29.65873973701816,6.748932894530424e-05
power,PL,19.40664523021168,24,25,29.90841703561923,6.592473634027834e-05
power,PL,19.40664523021168,24,25,30.159540002722725,6.460884290874381e-05
power,PL,19.40664523021168,24,25,30.411658195557067,6.342209104533859e-05
power,PL,19.40664523021168,24,25,30.66356878913305,6.187927850614017e-05
power,PL,19.40664523021168,24,25,30.914951782254548,6.0867693993072114e-05
power,PL,19.40664523021168,24,25,31.165975615952295,5.94785137069682e-05
power,PL,19.40664523021168,24,25,31.418062734170597,5.761982947631579e-05
power,PL,19.40664523021168,24,25,31.66963807569683,5.640272939362984e-05
power,PL,19.40664523021168,24,25,31.919760603706283,5.566015383269534e-05
power,PL,14.331814598205613,27,25,0.32072956064263475,6.290298205328312
power,PL,14.331814598205613,27,25,0.5606619683395725,1.5180471828576654
power,PL,14.331814598205613,27,25,0.787700109846164,0.7179762439842382
power,PL,14.331814598205613,27,25,1.0205350124370263,0.49770118188498985
power,PL,14.331814598205613,27,25,1.2811623763405762,0.31801396428294454
power,PL,14.331814598205613,27,25,1.5386083750512618,0.18258932559590746
power,PL,14.331814598205613,27,25,1.7773229368951355,0.13306378329518673
power,PL,14.331814598205613,27,25,2.016922174616909,0.1018114985959409
power,PL,14.331814598205613,27,25,2.276370248265442,0.08092644125524864
power,PL,14.331814598205613,27,25,2.5367369097912875,0.05820813604336582
power,PL,14.331814598205613,27,25,2.7799951337842748,0.050273884597320115
power,PL,14.331814598205613,27,25,3.0232513459545807,0.03946246197379339
power,PL,14.331814598205613,27,25,3.27850725349039,0.03257162555691867
power,PL,14.331814598205613,27,25,3.5320903813324764,0.02642304504374745
power,PL,14.331814598205613,27,25,3.7740842065088223,0.02350119332033963
power,PL,14.331814598205613,27,25,4.0223998293999035,0.020113760968733248
power,PL,14.331814598205613,27,25,4.280552523081682,0.018137798357638856
power,PL,14.331814598205613,27,25,4.537090733730488,0.014746427095309447
power,PL,14.331814598205613,27,25,4.784354808644596,0.013229880370860675
power,PL,14.331814598205613,27,25,5.031213959107016,0.011620646167112851
power,PL,14.331814598205613,27,25,5.285957311443282,0.01030465013010796
power,PL,14.331814598205613,27,25,5.538249178821105,0.009410132027090705
power,PL,14.331814598205613,27,25,5.785985141724235,0.008302395478712763
power,PL,14.331814598205613,27,25,6.034136131752394,0.007710400632164889
power,PL,14.331814598205613,27,25,6.286911813219537,0.006678995397557914
power,PL,14.331814598205613,27,25,6.54166682420824,0.006104786476839149
power,PL,14.331814598205613,27,25,6.793019941028072,0.005784653932947949
power,PL,14.331814598205613,27,25,7.044049470420791,0.005291245494688857
power,PL,14.331814598205613,27,25,7.295989038663275,0.0049010201317109476
power,PL,14.331814598205613,27,25,7.546022875800913,0.004534815817224993
power,PL,14.331814598205613,27,25,7.796320632595667,0.004199098460667692
power,PL,14.331814598205613,27,25,8.04569565437213,0.0037995142261088403
power,PL,14.331814598205613,27,25,8.295810539385062,0.003594278759525469
power,PL,14.331814598205613,27,25,8.549551313965676,0.0033962549113961127
power,PL,14.331814598205613,27,25,8.801317467211248,0.003122662021883029
power,PL,14.331814598205613,27,25,9.051715364342233,0.00293966458542839
power,PL,14.331814598205613,27,25,9.303933965686708,0.0027950723911295454
power,PL,14.331814598205613,27,25,9.555557996267446,0.0026210221810347182
power,PL,14.331814598205613,27,25,9.80486850979469,0.002410963720691112
power,PL,14.331814598205613,27,25,10.054942567415612,0.0023104468979285447
power,PL,14.331814598205613,27,25,10.308274496268336,0.002149351050095018
power,PL,14.331814598205613,27,25,10.560810068695892,0.0020526063199638772
power,PL,14.331814598205613,27,25,10.811584699358507,0.0019513066158399319
