model,z,snap,box,k_hMpc,P_Mpc_over_h_cubed,source_file
PL,19.40664523021168,24,25,29.154865892880995,7.095220298826162e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,29.40751703157385,6.918590751854593e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,29.65873973701816,6.748932894530424e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,29.90841703561923,6.592473634027834e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,30.159540002722725,6.460884290874381e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,30.411658195557067,6.342209104533859e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,30.66356878913305,6.187927850614017e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,30.914951782254548,6.0867693993072114e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,31.165975615952295,5.94785137069682e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,31.418062734170597,5.761982947631579e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,31.66963807569683,5.640272939362984e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
