model,snapshot,redshift,log10_M200c_center_Msun,log10_c200c_p16,log10_c200c_p84,sigma_68_log10_c,n_halos_bin,source_file
PL,0048,1.0717968600e+00,1.1875000000e+01,4.4497780959e-01,8.9174726506e-01,2.2338472774e-01,64,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.2125000000e+01,4.2540959936e-01,8.9319005359e-01,2.3389022712e-01,41,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.2375000000e+01,5.8800284588e-01,8.2921386074e-01,1.2060550743e-01,23,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.2625000000e+01,5.4034052000e-01,8.1352339369e-01,1.3659143685e-01,12,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.2875000000e+01,4.7504518166e-01,7.4109129076e-01,1.3302305455e-01,9,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.3125000000e+01,6.2328210430e-01,7.2903128033e-01,5.2874588015e-02,2,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.3375000000e+01,5.9320611217e-01,5.9320611217e-01,0.0000000000e+00,1,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,8.3750000000e+00,1.1875849294e+00,1.7410620375e+00,2.7673855405e-01,139351,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,8.6250000000e+00,1.1894244144e+00,1.6990336276e+00,2.5480460660e-01,96880,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,8.8750000000e+00,1.1808486012e+00,1.6492782018e+00,2.3421480030e-01,58207,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,9.1250000000e+00,1.1579779071e+00,1.5893407142e+00,2.1568140355e-01,34884,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,9.3750000000e+00,1.1205821933e+00,1.5294468171e+00,2.0443231190e-01,20850,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
